Date,Open,High,Low,Close,Volume
2024-05-08,,,,,
2024-05-09,139.24326704757988,139.64266713459878,137.4800799124037,139.09713745117188,8012700.0
2024-05-10,143.41256105810737,146.6077316959696,143.1300527860579,145.39979553222656,23671400.0
2024-05-11,,,,,
2024-05-12,,,,,
2024-05-13,144.1918669347939,144.6010029862829,142.51634889679414,142.62350463867188,8278700.0
2024-05-14,142.70144918303808,148.0786790430109,142.46765076401897,148.02023315429688,12316500.0
2024-05-15,149.3937637455623,151.96548677331342,148.78005221552277,151.5563507080078,14027100.0
2024-05-16,150.11463169034909,151.04979559688476,148.27351195618454,148.29298400878906,13394100.0
2024-05-17,150.01720879231428,150.01720879231428,146.93893003151464,147.7572021484375,7711200.0
2024-05-18,,,,,
2024-05-19,,,,,
2024-05-20,147.7474585874226,150.25099953347987,146.91945048663106,149.57884216308594,9261200.0
2024-05-21,148.36120608869618,150.00750152845836,148.0202518758566,149.69577026367188,7919400.0
2024-05-22,151.84859629451438,153.16367333044522,150.54324042076294,152.11160278320312,13455200.0
2024-05-23,155.06324233557845,156.62186870562223,151.83884871091104,153.0272979736328,20873000.0
2024-05-24,153.13444153095188,156.50496447056648,152.65712357705053,155.86203002929688,11908200.0
2024-05-25,,,,,
2024-05-26,,,,,
2024-05-27,,,,,
2024-05-28,155.55031423878185,156.23222257901944,153.52412072820664,155.2873077392578,13964400.0
2024-05-29,152.6960947721691,152.82273743824106,149.24765362185218,150.34841918945312,15780000.0
2024-05-30,149.61781656065466,150.06592647518735,147.9617853241136,149.00411987304688,9687800.0
2024-05-31,147.56238153122194,148.55600619363005,143.98729778881898,147.13375854492188,13782600.0
2024-06-01,,,,,
2024-06-02,,,,,
2024-06-03,151.10824384661666,153.08574230075592,148.51704871426483,150.94264221191406,12924400.0
2024-06-04,149.43272011849237,149.8126332342585,147.08505951294376,148.5267791748047,10066700.0
2024-06-05,154.4884795692137,159.49554627600415,153.86503209512867,158.7064971923828,23192600.0
2024-06-06,160.26512850503778,160.44046614523305,156.2127123600366,157.8784942626953,14819100.0
2024-06-07,159.33971880318165,161.82375817280652,157.77135643209076,160.1385040283203,14023300.0
2024-06-08,,,,,
2024-06-09,,,,,
2024-06-10,159.75858810471433,165.447548894215,158.21944870390848,163.81100463867188,12418900.0
2024-06-11,163.83048407369586,164.05454646442894,159.554019830557,161.42437744140625,11508600.0
2024-06-12,168.8765094738711,171.50667824754387,167.1035717543924,168.50633239746094,20309500.0
2024-06-13,169.0086253328978,170.10311170087982,166.62422830654575,168.96954345703125,15591800.0
2024-06-14,168.08028683092428,169.6829122251955,166.47766143665305,168.5786590576172,9192500.0
2024-06-15,,,,,
2024-06-16,,,,,
2024-06-17,173.7872149182625,174.5983019041281,169.52657401229166,173.20089721679688,18593700.0
2024-06-18,175.91752841643623,180.6472260783564,174.91100227919864,175.5950469970703,27155100.0
2024-06-19,,,,,
2024-06-20,178.41917060905612,178.99572147012046,169.54609371356702,171.3832550048828,28403200.0
2024-06-21,168.7741070594065,173.43539248104042,168.28550159215345,169.99562072753906,20175600.0
2024-06-22,,,,,
2024-06-23,,,,,
2024-06-24,166.54605141131148,167.51349559864795,163.31148562327218,163.9857635498047,19741700.0
2024-06-25,166.07697780921995,168.70567733137545,165.15839724196297,168.66659545898438,13346800.0
2024-06-26,168.1975455185272,169.73177388171015,166.32130226627288,168.14869689941406,11901500.0
2024-06-27,169.82948379399502,171.48097267898547,167.249647492245,167.71871948242188,10864600.0
2024-06-28,168.87183378095895,172.79045950960665,168.87183378095895,169.8490447998047,11216100.0
2024-06-29,,,,,
2024-06-30,,,,,
2024-07-01,170.2692321299812,171.30507329545046,166.56559447866562,168.4027557373047,10717000.0
2024-07-02,167.2301221400265,172.68296127474082,167.13239507622424,171.6959686279297,10655500.0
2024-07-03,173.9337883660826,178.33123779296875,173.8262945614276,178.33123779296875,11808700.0
2024-07-04,,,,,
2024-07-05,179.94361852050858,180.86219917265046,178.14555400328268,179.7970428466797,11372900.0
2024-07-06,,,,,
2024-07-07,,,,,
2024-07-08,185.67008835920313,188.40628211723427,180.9110756027974,182.37689208984375,22582400.0
2024-07-09,183.80360732454992,184.14563712764595,178.34100159410184,180.31497192382812,19935200.0
2024-07-10,183.9892732738706,187.05771500707365,182.44527821039122,186.69615173339844,19293500.0
2024-07-11,188.6896801054084,189.06102507996061,178.83939082560894,180.29544067382812,21584200.0
2024-07-12,178.8980281498493,186.04143830275657,178.58531346690916,183.0804901123047,19220300.0
2024-07-13,,,,,
2024-07-14,,,,,
2024-07-15,184.38014961888254,185.728705462877,179.8849883239932,180.99900817871094,15683100.0
2024-07-16,183.9794992579414,185.26940988475988,180.80356385124225,181.80030822753906,16663300.0
2024-07-17,171.22691540845221,172.55592298659275,166.624244962441,167.29852294921875,45052600.0
2024-07-18,171.5005121331658,174.6178172750873,160.7609590253371,167.95323181152344,52903600.0
2024-07-19,165.31474392499013,166.63398442694356,161.45476437145828,161.9922332763672,22585300.0
2024-07-20,,,,,
2024-07-21,,,,,
2024-07-22,162.813098553089,166.9857930125301,162.39289013838803,165.49066162109375,21037200.0
2024-07-23,165.55908833690188,167.63077091672486,164.14213534766338,165.94998168945312,11690700.0
2024-07-24,161.32773344271115,161.67952994034474,155.9530738411756,156.15829467773438,19536600.0
2024-07-25,154.5556977897767,159.67627396790854,148.643568163804,156.62738037109375,25731800.0
2024-07-26,160.5557606544779,160.83914526661985,155.562212147474,158.24954223632812,13089200.0
2024-07-27,,,,,
2024-07-28,,,,,
2024-07-29,158.97269246215228,159.51016154216754,155.01499948898962,156.36354064941406,12663100.0
2024-07-30,156.78372675282387,157.47753817513708,149.07353297594236,151.01817321777344,22018000.0
2024-07-31,160.0378389235174,162.85219627545385,158.37658331702292,162.02157592773438,19860400.0
2024-08-01,159.75444701201843,163.84896340851662,153.26576669408314,154.57522583007812,21095600.0
2024-08-02,147.80314675613278,150.35366776932543,143.54250668956337,146.44482421875,31095300.0
2024-08-03,,,,,
2024-08-04,,,,,
2024-08-05,130.80945547864115,146.5816392673677,130.5260708702553,144.57835388183594,31193100.0
2024-08-06,147.0116097021711,154.11593709708998,144.353594869958,151.8488006591797,24528100.0
2024-08-07,157.86841165302982,158.94333461316262,150.99862075086085,151.5067596435547,22379000.0
2024-08-08,155.64040625600347,160.99551857116535,151.99539834692885,160.80007934570312,18889600.0
2024-08-09,162.5297360709235,163.97600413483784,159.51992448690015,163.31149291992188,20519400.0
2024-08-10,,,,,
2024-08-11,,,,,
2024-08-12,162.21701687633126,165.66657031943143,161.76749328074922,163.80987548828125,14727300.0
2024-08-13,164.17142967436996,168.52001515674795,162.54925601679147,168.4125213623047,15243500.0
2024-08-14,167.96301880653536,168.57865155066935,163.37989717580408,166.09654235839844,11510300.0
2024-08-15,168.50047427957372,171.4418887355125,166.92717898963227,169.99562072753906,15393500.0
2024-08-16,169.43860655686507,171.01191678775464,168.3245866668042,170.56239318847656,10710000.0
2024-08-17,,,,,
2024-08-18,,,,,
2024-08-19,170.77738220726908,171.45166015625,167.20080142176468,171.45166015625,11511000.0
2024-08-20,171.4027834210872,171.4027834210872,165.97927493322877,168.11935424804688,13555500.0
2024-08-21,166.47764574095388,169.13566052149423,166.0379038281482,167.5330352783203,9434800.0
2024-08-22,168.08027824461954,169.3311070293695,162.27564299389115,162.64698791503906,13546100.0
2024-08-23,165.14866896284954,169.3408978448874,164.09327922985474,167.376708984375,12189100.0
2024-08-24,,,,,
2024-08-25,,,,,
2024-08-26,166.49720018511067,167.15192970771673,163.99554263274857,165.21705627441406,9611300.0
